source_code,source_unit,target_unit,conversion_function
10839-9,"ng/ml","ng/mL","$this"
14627-4,"mmol/L","mmol/L","$this"
1742-6,"UI/L","U/L","$this"
1920-8,"UI/L","U/L","$this"
1988-5,"mg/L","mg/L","$this"
1994-3,"mmol/L","mmol/L","$this"
2019-8,"mmHg","mm[Hg]","$this"
2021-4,"mmHg","mm[Hg]","$this"
20570-8,"%","%","$this"
2069-3,"mmol/L","mmol/L","$this"
2075-0,"mmol/L","mmol/L","$this"
2160-0,"umol/L","umol/L","$this"
2324-2,"UI/L","U/L","$this"
2339-0,"mmol/L","mmol/L","$this"
2524-7,"mmol/L","mmol/L","$this"
26464-8,"Mil/mmcc","10*6/mm3","$this"
26499-4,"Mil/mmcc","10*6/mm3","$this"
26515-7,"Mil/mmcc","10*6/mm3","$this"
2708-6,"%","%","$this"
2711-0,"%","%","$this"
2744-1,"-","[pH]","$this"
2746-6,"-","[pH]","$this"
2947-0,"mmol/L","mmol/L","$this"
3094-0,"mmol/L","mmol/L","$this"
3255-7,"g/L","g/L","$this"
33762-6,"ng/L","ng/L","$this"
33959-8,"ng/ml","ng/mL","$this"
5894-1,"%","%","$this"
5902-2,"segons","s","$this"
5902-2,"-","s","$this"
6298-4,"mmol/L","mmol/L","$this"
718-7,"g/dl","g/dL","$this"
770-8,"%","%","$this"
6690-2,"Mil/mmcc","10*6/mm3","$this"
