source_code,target_code,target_display
1552,718-7,Hemogoblin
1358,20570-8,Hematocrit
2218,26464-8,fB-Leucos
3238,26499-4,Neutrophils
2791,26515-7,Platelets
6462,33959-8,PCT
10303,2524-7,Lactate
1532,2746-6,Venous blood gases (Ph)
1531,2746-6,Venous blood gases (Ph)
1624,2021-4,Venous blood gases (PCO2)
1623,2021-4,Venous blood gases (PCO2)
10088,14627-4,"Venous, capillary, arterial blood gases (HCO3) mmHg"
11456,14627-4,"Venous, capillary, arterial blood gases (HCO3) mmHg"
10086,14627-4,"Venous, capillary, arterial blood gases (HCO3) mmHg"
10087,14627-4,"Venous, capillary, arterial blood gases (HCO3) mmHg"
1527,2744-1,Arterial blood gas (Ph)
1528,2745-8,Capillary blood gas (Ph)
1622,2020-6,Capillary blood gas (PCO2) mmHg
1621,2019-8,Arterial blood gas (PCO2) mmHg
10530,2708-6,SVO (arterial)%
11457,2711-0,SVO (central venous)%
3622,2951-2,Ions (Na) in plasma
1999,2823-3,Ions (K) in plasma
2080,2075-0,Ions (Cl) in plasma
4598,17861-6,Ions (Ca) in plasma
11457,2947-0,Ions (Na) in blood
10207,6298-4,Ions (K) in blood
10208,2947-0,Ions (Na) in blood
10900,2069-3,Ions (Cl) in blood
10139,1994-3,Ions (Ca) in blood
2019,1994-3,Ions (Ca) in blood
1731,6301-6,INR in Platelet poor plasma by Coagulation assay
2542,5894-1,Coagulation (Prothrombin Ratio) %
1399,3255-7,Coagulation (fibrinogen)
4709,33762-6,Pro BNP
4531,10839-9,Troponin I
1471,2339-0,Blood glucose
10756,2339-0,Blood glucose
1024,1742-6,Hepatic (alanine aminotransferase) IU/L
4591,1920-8,Hepatic (aspartate aminotransferase) IU/L
4597,2324-2,Hepatic (gamma glutaryl transferase) IU/L
4573,3094-0,Urea
4600,2160-0,Creatinine
4594,1988-5,C reactive protein [Mass/volume] in Serum or Plasma
