code,display_en,display_fi
A,Nervous system,Nervsystemet
AA,Skull and intracranial structures,Kranium och intrakraniala strukturer
AA_,Diagnostic radiology of head and brain,Diagnostisk radiologi av huvudet
AAA,Diagnostic intracranial procedures,Diagnostiska intrakraniala ingrepp
AAA00,Exploratory craniotomy,Explorativ kraniotomi
AAA10,Biopsy through craniotomy,Biopsi via borrhål
AAA20,Insertion of intraventricular pressure monitoring device,Applikation av tryckgivare i ventrikel
AAA25,Insertion of epidural pressure monitoring device,Applikation av epidural tryckgivare
AAA27,Insertion of intracerebral pressure monitoring device,Applikation av intracerebral tryckgivare
AAA30,Insertion of epidural electrodes,Inläggande av epidurala elektroder
AAA35,Insertion of subdural electrodes,Inläggande av subdurala elektroder
AAA40,Insertion of intracerebral electrodes,Inläggande av intracerebrala elektroder
AAA42,,Avlägsnande av interkraniella elektroder
AAA50,Intracranial endoscopy,Intrakraniell endoskopi
AAA99,Other diagnostic intracranial procedures,Annan diagnostisk intrakranial operation
AAB,Excision and destruction of intracranial lesion,Exstirpation eller destruktion av intrakranial förändring
AAB00,Extirpation of intracranial lesion,Total exstirpation av intrakranial tumör eller lokal lesion
AAB10,Partial excision of intracranial lesion,Delresektion av intrakranial tumör/förändring
AAB20,Destruction of intracranial lesion,Destruktion av intrakranial tumör/lesion
AAB30,Evacuation of spontaneous intracranial haematoma,Utrymning av icke-traumatiskt intrakranialt hematom
AAB99,Other excision or destruction of intracranial lesion,Annan exstirpation av intrakranial tumör/förändring
AAC,Operations for intracranial aneurysm and other vascular lesions,Intrakraniala kärlåtgärder
AAC00,Ligature of intracranial aneurysm,Stjälkligatur av intrakranialt aneurysm
AAC05,Ligature of feeding artery of intracranial aneurysm,Kärlligatur proximalt om intrakranialt aneurysm
AAC10,Reinforcement of intracranial aneurysm wall,Väggförstärkning av intrakranialt aneurysm
AAC15,Trapping of intracranial aneurysm,"Ligatur proximalt och distalt om intrakranialt aneurysm, trapping"
AAC20,Anastomosis to intracranial vessel,Intrakranial kärlanastomos
