source_code,source_display,target_code,target_display
"425.9","Secondary cardiomyopathy, unspecified",I42.7,"Cardiomyopathy due to drug and external agent"
"427.0","Paroxysmal supraventricular tachycardia",I47.1,"Supraventricular tachycardia"
"427.9","Cardiac dysrhythmia, unspecified",I49.9,"Cardiac arrhythmia, unspecified"
"428.9","Heart failure, unspecified",I50.9,"Heart failure, unspecified"
"429.9","Heart disease, unspecified",I51.9,"Heart disease, unspecified"
"459.9","Unspecified circulatory system disorder",I99.9,"Unspecified disorder of circulatory system"
"465.8","Acute upper respiratory infections of other multiple sites",J06.9,"Acute upper respiratory infection, unspecified"
"682.2","Cellulitis and abscess of trunk",L03.319,"Cellulitis of trunk, unspecified"
"745.1","Transposition of great vessels",Q20.3,"Discordant ventriculoarterial connection"
"745.12","Corrected transposition of great vessels",Q20.5,"Discordant atrioventricular connection"
"745.2","Tetralogy of fallot",Q21.3,"Tetralogy of Fallot"
"745.4","Ventricular septal defect",Q21.0,"Ventricular septal defect"
"745.5","Ostium secundum type atrial septal defect",Q21.1,"Atrial septal defect"
"745.69","Other endocardial cushion defects",Q21.2,"Atrioventricular septal defect"
"746.00","Congenital pulmonary valve anomaly, unspecified",Q22.3,"Other congenital malformations of pulmonary valve"
"746.02","Stenosis of pulmonary valve, congenital",Q22.1,"Congenital pulmonary valve stenosis"
"746.3","Congenital stenosis of aortic valve",Q23.0,"Congenital stenosis of aortic valve"
"746.7","Hypoplastic left heart syndrome",Q23.4,"Hypoplastic left heart syndrome"
"746.81","Subaortic stenosis",Q24.4,"Congenital subaortic stenosis"
"746.83","Infundibular pulmonic stenosis",Q24.3,"Pulmonary infundibular stenosis"
"746.9","Unspecified congenital anomaly of heart",Q24.9,"Congenital malformation of heart, unspecified"
"747.0","Patent ductus arteriosus",Q25.0,"Patent ductus arteriosus"
"747.10","Coarctation of aorta",Q25.1,"Coarctation of aorta"
"747.22","Atresia and stenosis of aorta",Q25.3,"Supravalvular aortic stenosis"
"747.3","Congenital anomalies of pulmonary artery",Q25.7,"Other congenital malformations of pulmonary artery"
"747.31","Pulmonary artery coarctation and atresia",Q25-5 Q25.71,"Atresia of pulmonary artery, Coarctation of pulmonary artery"
"747.39","Other anomalies of pulmonary artery and pulmonary circulation",Q25.79,"Other congenital malformations of pulmonary artery"
"747.60","Anomaly of the peripheral vascular system, unspecified site",Q27.9,"Congenital malformation of peripheral vascular system, unspecified"
"780.4","Dizziness and giddiness",R42,"Dizziness and giddiness"
"780.60","Fever, unspecified",R50.9,"Fever, unspecified"
"783.0","Anorexia",R63.0,"Anorexia"
"785.2","Undiagnosed cardiac murmurs",R01.1,"Cardiac murmur, unspecified"
"786","Dyspnea and respiratory abnormalities",R06.9,"Unspecified abnormalities of breathing"
"799.8","Other ill-defined conditions",R69,"Illness, unspecified"
"799.89","Other ill-defined conditions",R69,"Illness, unspecified"
"799.9","Other unknown and unspecified cause of morbidity and mortality",R69,"Illness, unspecified"
"996.1","Mechanical complication of other vascular device, implant, and graft",T82.5,"Mechanical complication of other cardiac and vascular devices and implants"
"996.67","Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft",T84.7XXA,"Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, initial encounter"
A09,,A09,"Infectious gastroenteritis and colitis, unspecified"
A41.9,,A41.9,"Sepsis, unspecified organism"
B01.9,,B01.9,Varicella without complication
C71.9,,C71.9,"Malignant neoplasm of brain, unspecified"
C80.1,,C80.1,"Malignant (primary) neoplasm, unspecified"
C91.00,,C91.00,Acute lymphoblastic leukemia not having achieved remission
D64.9,,D64.9,"Anemia, unspecified"
D68.8,,D68.8,Other specified coagulation defects
D84.9,,D84.9,"Immunodeficiency, unspecified"
E83.51,,E83.51,Hypocalcemia
G00.8,,G00.8,Other bacterial meningitis
G31.81,,G31.81,Alpers disease
G71.0,,G71.00,"Muscular dystrophy, unspecified"
