source_display,target_code,target_display
"AAS 10 MG CAPSULAS",N02BA01,"Acetylsalicylic acid"
"AAS 10 MG/ML SUSP ORAL FM 30 ML",C01,"CARDIAC THERAPY"
"AAS 100 MG 30 COMPRIMIDOS",N02BA01,"Acetylsalicylic acid"
"AAS 5 MG CAPSULAS",N02BA01,"Acetylsalicylic acid"
"ACETAZOLAMIDA 25 MG/ML SUSP ORAL 50 ML",S01EC01,"Acetazolamide",
"ACTIMAG 2 G/5 ML SOLUCION 100 ML",A12CC08,"Magnesium pidolate"
"ACTIVECOMPLEX Q10 GOLD 100 MG 60 CAPSULAS",C01EB09,"Ubidecarenone"
"ACTOCORTINA 100 MG 10 VIALES",H02AB09,"Hydrocortisone"
"ADRENALINA BRAUN 1 MG 100 AMPOLLAS 1 ML",C01CA24,"Epinephrine"
"ALBUMINA HUMANA GRIFOLS  5% SOLUCION 500 ML",B05AA01,"Albumin"
"ALBUPLAN 200 MG/ML 1 VIAL SOLUCION PERFUSION 50 ML",B05AA01,"Albumin"
"ALBUTEIN 20% SOLUCION 10 ML",B05AA01,"Albumin"
"ALBUTEIN 20% SOLUCION 100 ML",B05AA01,"Albumin"
"ALDACTONE 25 MG 50 COMPRIMIDOS",C03DA01,"Spironolactone"
"ALDOCUMAR 1 MG 40 COMPRIMIDOS",B01AA03,"Warfarin"
"ALPROSTADIL PHARMACIA 500 MCG 5 AMPOLLAS 1 ML",C01EA01,"Alprostadil"
"AMCHAFIBRIN 500 MG 6 AMPOLLAS 5 ML",B02AA02,"Tranexamic acid"
"AMIKACINA NORMON 500 MG 50 VIALES 2 ML",J01GB06,"Amikacin"
"AMIODARONA 5 MG/ML SUSP ORAL 100 ML",C01BD01,"Amiodarone"
"AMNIOPLUS 75 G (PASTA AL AGUA)",V03,"All other therapeutic products"
"AMOXICILINA CLAV NORMON  875/125 MG 500 SOBRES",J01CA04,"Amoxicilin"
"AMOXICILINA CLAV NORMON 1 G/200 MG MG 100 VIALES",J01CA04,"Amoxicilin"
