source_code,target_code,target_display
neuropath,neuropath,Neuropath Device
garmin,garmin,Garmin wearable
mds-updrs,mds-updrs,MDS-UPDRS Questionnaire
mds-updrs3,mds-updrs,MDS-UPDRS Questionnaire
updrs3,updrs,UPDRS Questionnaire
updrs4,mds-updrs,MDS-UPDRS Questionnaire
mds-updrs4,mds-updrs,MDS-UPDRS Questionnaire
pkg-ptt,pkg-ptt,Parkinson KinetiGraph Percent Time Tremor (PTT) Score
pkg-dks,pkg-dks,Parkinson KinetiGraph Dyskenizia Score (DKS)
pkg-fds,pkg-fds,Parkinson KinetiGraph Fluctuation Score (FDS)
pkg-bks,pkg-bks,Parkinson KinetiGraph Bradykinesia score (BKS)
pkg-pti,pkg-pti,Parkinson KinetiGraph Percent Time Immobility (PTI)
nfog-q,nfog-q,New Freezing of Gait Questionnaire
nms,nms,Non Motor Rating Scale (MDS-NMS)
mds-nms,nms,Non Motor Rating Scale (MDS-NMS)
nmss,nmss,Non-Motor Symptoms Scale for Parkinson's Disease (MDS-NMSS)
mds-nmss,nmss,Non-Motor Symptoms Scale for Parkinson's Disease (MDS-NMSS)
health-village,health-village,Health Village Symptom Questionnaire
